,0,Phrase
95,1.1929867012187323,окладистая борода
310,1.114396185580391,безотходная технология
276,0.9939504169139799,апелляционная инстанция
226,0.9732336125870458,акционерное общество
283,0.935329040062457,арбузная корка
320,0.9328193134988583,беспилотный аппарат
186,0.9213745769093102,авторитарная власть
286,0.8967463241786728,артериальное давление
282,0.8812312773768762,арбитражный суд
335,0.8708454046876922,благоприятное условие
116,0.8640580903087077,преклонный возраст
309,0.8337817041497133,бедственное положение
144,0.8330530504690383,спинной мозг
277,0.8247343147003763,апельсиновый сок
284,0.8238569496106879,арифметическое действие
275,0.8235583184117644,антитеррористическая операция
187,0.8203299274495696,авторитарный режим
274,0.817957956308188,антитеррористическая коалиция
3,0.8177669515677921,бездонный глаз
211,0.8161762389554528,аккумуляторная батарея
142,0.8020376991123842,сотовая связь
336,0.7955028557820714,благотворительная организация
225,0.7904279782510812,актуальный вопрос
224,0.7798780074361332,актуальная проблема
188,0.767663290539245,авторитетная организация
47,0.7650977367782213,здоровый человек
160,0.7644206406824697,цепная реакция
321,0.7622098675527001,бесплатная услуга
56,0.7449450852125662,католическая церковь
317,0.7444210506970559,беременная женщина
205,0.7427942477752701,азартная игра
7,0.7424059547138159,бросовая цена
322,0.7412293139553924,бесплатное образование
227,0.7407723848590091,алкогольная продукция
295,0.7328472590277464,афганская граница
288,0.7302233807487782,атлантический океан
177,0.7234003788539796,автоматическая станция
190,0.7207325960691001,авторское право
36,0.7087357905272396,движущая сила
153,0.7051976512618722,уголовный кодекс
319,0.7051018669361316,бесконечный ряд
61,0.7050300085521447,костный мозг
305,0.7039394045135622,банковский кредит
156,0.7029234784143922,федеральный орган
345,0.7017333037899263,богатый купец
108,0.7015697695752474,пенсионный фонд
189,0.6969760693173002,авторитетный журнал
338,0.6945537489718918,благотворительный фонд
343,0.691100840839101,богатый человек
306,0.6886464581205683,банковское дело
324,0.6886339715179698,биологическая система
342,0.6807694258489922,богатая страна
212,0.6801037690923954,активная деятельность
29,0.677193665658376,гоночная серия
195,0.6702970330876086,агрессивное поведение
192,0.669484598331433,агитационный материал
25,0.6694825038045455,глазное яблоко
81,0.6680400998075874,мобильная связь
269,0.665070705150906,английский язык
60,0.6646478523958078,королевский институт
302,0.663822608802128,банковская система
337,0.661428765966517,благотворительная цель
325,0.6603768703959904,биологическая наука
230,0.6599245734263774,альтернативная служба
180,0.6592739005928988,автомобильная дорога
304,0.6584841028388537,банковский сектор
323,0.6577458223903688,бесплатный сервис
213,0.6573551528464846,активная работа
168,0.6557721738718836,юридическое лицо
117,0.6549959905426074,приборная доска
294,0.6545548509566066,атомная промышленность
171,0.6530368828742451,аварийная ситуация
278,0.6524801415157989,арабская страна
334,0.6522284357750284,благая цель
311,0.6512327701955588,белая фигура
313,0.650548021020795,белый цвет
84,0.6499158364150353,налоговый кодекс
169,0.6498715693948549,яркий человек
198,0.6490865648850331,административная власть
107,0.647086895897907,партийное строительство
204,0.6455879799543492,административный орган
125,0.6454362475930941,римский папа
72,0.6448138508725971,ледниковый период
82,0.6442543705174518,мысленный взор
193,0.6401604163189925,аграрный вопрос
78,0.6366501906523375,массовый характер
134,0.632935023585612,сетевая структура
296,0.6251503518939026,афганская провинция
339,0.6237563636915365,ближневосточный конфликт
293,0.6215962217213362,атомная энергетика
243,0.6178111699594216,американская фирма
307,0.6173888811154085,баскетбольный тренер
206,0.6156415220595012,азиатская страна
115,0.6117117868248954,правый рука
9,0.6109416856794655,великая революция
291,0.6041281091556607,атомная электростанция
181,0.6021652555065188,автомобильная промышленность
341,0.600450200499915,близкий друг
280,0.5990086826489478,арабский мир
331,0.5963960020329551,биологический материал
37,0.595480331268843,детский дом
137,0.5947920375101159,следственный комитет
124,0.5914908617385799,римская империя
327,0.5895210800389641,биологическая мембрана
58,0.5891976770316595,ключевой вопрос
299,0.5880492721068542,базовый навык
292,0.587932784188418,атомная бомба
329,0.5876279096881952,биологический ритм
120,0.5871700944458208,прямая линия
303,0.5846879592460287,банковская тайна
266,0.5844492637395787,аналогичная ситуация
14,0.5819100929614651,взлётная полоса
162,0.5796966211143598,черное золото
96,0.5795566503271655,октябрьская революция
93,0.5795272866713771,общая черта
38,0.577486170219496,детский сад
185,0.5759840319268805,автономный робот
326,0.5738713793259184,биологическая проблема
312,0.5735398801666063,белая рука
109,0.5735023800794471,переходный период
287,0.5696775725860329,артиллерийский снаряд
300,0.5693855874820412,балканская война
330,0.5681101011662725,биологический закон
267,0.5674857710363408,аналогичный показатель
301,0.5669715244060932,балтийский флот
250,0.5656196684176568,американский военный
178,0.5648210494830661,автоматическая линия
147,0.5612938259251317,средний уровень
231,0.5601117474526733,альтернативная форма
90,0.5600881034664625,новый тип
260,0.558058184677557,американское правительство
175,0.5539452588990202,авиационный институт
318,0.5509335709109565,берестяная грамота
161,0.5487621909984175,черная дыра
233,0.5480409889999384,алюминиевый завод
214,0.5461334791958627,активная форма
289,0.5435051701869402,атмосферный фронт
165,0.5432912464888714,широкий круг
194,0.5430659237310109,агрессивная среда
48,0.5430248387805251,земной шар
203,0.5425889757911063,административный метод
285,0.5424295097921129,армянский народ
332,0.5424172648656935,биологический объект
235,0.5408191811298847,американская компания
262,0.5388479090938295,американское предприятие
234,0.5380820372815379,амбициозная цель
66,0.5378049152625747,крепостное право
346,0.5369588069587461,богословское образование
87,0.5358945053443471,научная мысль
298,0.5349764580978051,базовый элемент
52,0.5316890981478541,золотой дождь
263,0.5306011928266074,амурская область
279,0.5305404112675063,арабские цифры
290,0.5299313872955989,атмосферный воздух
99,0.5296359381663699,острая проблема
218,0.5270142752523789,активное действие
264,0.5266336352699368,аналитический центр
6,0.5259894071345738,бронзовый век
297,0.523238971096364,афганское правительство
45,0.5224047854840488,живой язык
261,0.5222535767545157,американское общество
112,0.5221449835912708,политическая сила
75,0.5215996010132532,лунная программа
265,0.5212656448127845,аналитический отдел
172,0.5211860125116957,авиационная промышленность
103,0.5207273514026938,острый вопрос
197,0.5200020006298028,административная система
333,0.5194559735819736,биологическое оружие
138,0.5180638382303158,советский союз
163,0.5163479373570844,черный молния
85,0.5157464456260992,насыщенный пар
151,0.5154387112910878,торговый дом
44,0.5139766509648775,живое общение
70,0.5120092860270549,кубический километр
35,0.5112549341126446,гуманитарная помощь
183,0.5096277283972266,автономное учреждение
210,0.5072931365049146,академическое звание
249,0.5052389292599866,американский президент
328,0.5044521927375463,биологический возраст
228,0.5043241446418654,алтайский край
140,0.5037261974948438,солнечное пятно
179,0.502388842077167,автоматическое оружие
340,0.5011359524841655,ближнее зарубежье
114,0.5008446924087117,почтовый ящик
281,0.49916814447334745,арабское государство
308,0.49808551574868265,бедная руда
220,0.4960015823336974,активное население
209,0.4954315890647515,академический институт
64,0.494809111785528,красная черта
139,0.4931143575779875,солнечная корона
69,0.49275015157573987,кубический метр
182,0.49059117770707306,автомобильная пробка
217,0.48817522150105375,активное участие
77,0.48795364472397296,магнитная буря
221,0.48752217218514526,активный участник
256,0.48745256944549864,американский экономист
146,0.4864264526674336,средний класс
268,0.48210355056842386,аналогичный период
273,0.48009518123884176,анонимный звонок
270,0.4797820091897954,английский король
254,0.47865309947678936,американский специалист
216,0.47795743459459256,активная роль
141,0.4778713575953884,солнечный диск
232,0.4774321916981856,альтернативный источник
208,0.47636241209038854,академическая программа
239,0.4761507440366602,американская коллега
257,0.4751177394874842,американский дипломат
258,0.4750136978922833,американский врач
8,0.4735478513059303,бюджетный кодекс
54,0.4725961707910984,каменный век
1,0.47123347965395534,аналитическая химия
241,0.47097798765304194,американская армия
15,0.47079769722326303,властная вертикаль
238,0.4660057016601768,американская сторона
237,0.46592482069882823,американская власть
246,0.4649845795231512,американская спецслужба
196,0.4644474944939571,административная реформа
128,0.4644259450346337,российский рынок
207,0.4641352085909016,академическая среда
122,0.4636547160670336,разная область
42,0.4608999701369591,железная дорога
251,0.460720565853171,американский исследователь
242,0.46007069860695693,американская разведка
155,0.4598867427551249,узкий круг
91,0.4588729514622056,новый взгляд
34,0.45882107164237645,грубое нарушение
167,0.45858584016116344,элементарная частица
174,0.45782157952340075,авиационная бомба
200,0.45511593413709306,административное давление
348,0.4538577276681464,боевые заслуги
152,0.45369556295181707,точная наука
28,0.45347845718405383,голодный бунт
315,0.45215387032451815,белый человек
79,0.4519401883026286,медицинская сестра
73,0.4502781006586609,личная свобода
271,0.4498329734157013,английский текст
202,0.4438410959016129,административный ресурс
244,0.4425442615233368,американская газета
150,0.4393608223304971,торговая война
131,0.4392981476413246,светлое будущее
344,0.4361010537443527,богатый опыт
18,0.4360883254655748,воздушный мешок
57,0.4350359062633261,квадратный метр
191,0.43474327668952273,авторское свидетельство
39,0.4326328394535377,добрая воля
255,0.42940420681516345,американский физик
222,0.42914786894762247,активный сторонник
101,0.42602758779631383,острое ощущение
247,0.4255993778859072,американская телекомпания
253,0.42207932405462617,американский индеец
129,0.42096382736957283,русский дом
21,0.42086014828864093,высокое качество
71,0.4187971198631674,культурный код
121,0.41773604059782626,рабочая сила
133,0.4149954327242425,серебряный призер
148,0.4134265515267692,средняя рука
126,0.4127264156352548,российская сторона
98,0.41192352708816277,особое место
252,0.40923842417709805,американский психолог
31,0.4078920059026965,государственный экзамен
13,0.4063300930350604,вечная мерзлота
118,0.4039511535638415,промышленная революция
229,0.4027449477528136,альпийский стиль
19,0.398375885503552,всемирная паутина
149,0.39724701606990914,столетняя война
272,0.39628071414622784,английский перевод
240,0.3952176209127256,американская экономика
166,0.3941194846332208,электронная почта
259,0.3935006727760504,американский художник
63,0.3933097888737442,красная армия
245,0.3908966925025137,американская помощь
236,0.39060216979863877,американская авиация
136,0.3883219147673123,слабое звено
215,0.38795915882214044,активная поддержка
173,0.38769939720872565,авиационная федерация
65,0.38724987951517487,красная звезда
347,0.3859374167439689,боевой корабль
352,0.38575172887951825,большая потеря
62,0.3849186308100102,крайний случай
51,0.38342253442187785,золотой мальчик
127,0.38163658773600434,российская газета
130,0.3807453665453678,самый разгар
12,0.378379719264012,великое множество
102,0.3777869278754827,острый дефицит
143,0.3770726539274777,социальная сеть
67,0.37561929394372334,круглый стол
157,0.3741861542003061,финансовая пирамида
86,0.3733796807898872,натуральная величина
92,0.37322106065752136,ночной дозор
119,0.37186948662462743,промышленный шпионаж
159,0.37014814803736107,худой конец
104,0.36950569219397983,открытое небо
176,0.367972579071047,австралийский доллар
164,0.3642187840949922,широкая публика
23,0.3632414456257883,главный инженер
59,0.3574300196589318,комсомольский правда
41,0.3572055830470622,домашний кинотеатр
5,0.35707495707213527,большое значение
248,0.35212031344036093,американская валюта
88,0.3508093410055942,новая газета
0,0.3461506298554076,абсолютное большинство
219,0.3435526914863539,активное вещество
32,0.3390803126704295,государственный муж
316,0.33798519734316623,береговая линия
74,0.33590666136285247,личный состав
33,0.3343082553921378,гражданская сила
132,0.33247836392098984,сердечный приступ
22,0.33008866985979085,главная роль
94,0.3280509368744204,общественная палата
26,0.3272501428542159,глубокая древность
17,0.32672485967844567,воздушная масса
49,0.32527202332641303,золотой запас
40,0.3230017978565288,добрая половина
113,0.32192114282066187,полная катушка
53,0.3195760581542307,золотой век
100,0.3183153342250826,острая нехватка
199,0.3134921221554998,административное деление
16,0.3107263799592659,военная операция
110,0.30468773810447747,переходный металл
76,0.3035316801006602,львиная доля
89,0.2960207671010848,новая волна
170,0.29463366666982965,абсолютный чемпион
314,0.29458964132582866,белый фермер
201,0.2942518384461724,административный центр
27,0.29407750936215027,голландская болезнь
223,0.2934364632964816,активный отдых
123,0.29239649041746857,реальное время
184,0.28526714382568935,автономное сообщество
10,0.28407483439497294,великая хартия
154,0.2835759140624311,ударная волна
351,0.2828597067049915,большая проблема
43,0.2818106709692535,железный занавес
11,0.28115961548182444,великий пост
24,0.2792162570444818,главный герой
55,0.2777556064959843,карьерная лестница
68,0.2729016008532187,круговая порука
4,0.2688333247488129,боевое искусство
106,0.26733340182117454,открытый воздух
111,0.26704534395509677,пограничный слой
350,0.2667465516387204,большая роль
145,0.26152110984800875,средние века
158,0.25876126857848675,холодная война
349,0.2505053283370869,большая часть
30,0.24739924566131383,горячая десятка
83,0.2463323258883054,мягкая посадка
50,0.23534371280787647,золотой миллиард
20,0.22498637804753482,высокая мода
135,0.2222083707852,сибирская язва
80,0.21983742676758058,мировая судья
2,0.20575211610300906,бархатная революция
105,0.19305847757741834,открытое письмо
97,0.1722620006700324,оранжевая революция
46,0.03079827398264212,заднее число
